분류,회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역,구글코드
코스피,고려제강,002240,1차 철강 제조업,"PC강선,선재 2차제품,와이어로프,비드와이어,SC(Surpass Coat) Stand,각종선재 제조,도매",1976-05-25,12월,"이이문, 박창희 (각자대표)",http://www.kiswire.com,부산광역시,KRX:002240
코스피,태양금속공업,004100,자동차 신품 부품 제조업,"자동차용 강력볼트,너트,전기전자제품용 나사,자전거부품,전해동박,도금도장설비 제조",1976-05-25,12월,한우삼. 한하워드성(각자 대표이사),http://www.taeyangmetal.com,경기도,KRX:004100
코스피,선창산업,002820,나무제품 제조업,"합판,가정용가구(선우드),MDF,제재목,하드보드 제조/부동산 임대",1976-05-22,12월,김영환,http://www.sunwood.co.kr,인천광역시,KRX:002820
코스피,DRB동일,004840,기타 금융업,"고무벨트(V벨트,콘베이어벨트,평벨트),프라스틱제품 제조,판매",1976-05-21,12월,박진삼,http://drbworld.com,부산광역시,KRX:004840
코스피,넥센타이어,002350,고무제품 제조업,"타이어,후랩,고무제타이어(승용자동차용,래디알구조) 제조",1976-05-19,12월,대표이사 회장 강병중 대표이사 사장 강호찬,http://www.nexentire.com,경상남도,KRX:002350
코스피,SG세계물산,004060,상품 종합 도매업,"피복류,봉제품,P.E제품 수출입,도매,제조/조경사업",1976-04-19,12월,이의범,http://www.sgsegye.com,서울특별시,KRX:004060
코스피,롯데정밀화학,004000,기초 화학물질 제조업,"염소·셀룰로스계열, 암모니아 계열, 전자재료 등 화학제품 제조",1976-04-15,12월,이홍열,http://www.lottefinechem.com,울산광역시,KRX:004000
코스피,동화약품,000020,의약품 제조업,"의약품 제조,판매,수출입",1976-03-24,12월,"윤도준, 손지훈",http://www.dong-wha.co.kr,서울특별시,KRX:000020
코스피,대림산업,000210,토목 건설업,"산업플랜트공사,건축,토목,폴리에틸렌,폴리부텐,각종폴리머 제조,기술용역",1976-02-02,12월,"이해욱, 김재율, 강영국 (각자 대표이사)",http://www.daelim.co.kr,서울특별시,KRX:000210
코스피,LG상사,001120,상품 중개업,"전자,기계,화공,유류.금속,의류 수출입,도소매",1976-01-30,12월,송치호,http://www.lgicorp.com,서울특별시,KRX:001120
코스피,국제약품,002720,의약품 제조업,"항생제,안약,제약 제조,도매",1975-12-27,12월,"남영우,남태훈,안재만",http://www.kukjepharm.co.kr,경기도,KRX:002720
코스피,태광산업,003240,화학섬유 제조업,"석유화학제품(PTA,AN),화섬사,직물 등",1975-12-27,12월,"심재혁, 홍현민 (각자 대표이사)",http://www.taekwang.co.kr,서울특별시,KRX:003240
코스피,부산주공,005030,자동차 신품 부품 제조업,"자동차부품(엔진부품,조향장치부품,브레이장치부품,오토미셧부품) 제조,도매/부동산 임대",1975-12-26,12월,장세훈,http://www.pci21c.com,울산광역시,KRX:005030
코스피,현대시멘트,006390,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트,시멘트반제품 제조,판매/콘도미니엄,스키장,종합레저관광산업,체육진흥사업,사업서비스",1975-12-26,12월,이주환,http://www.hdcement.co.kr,서울특별시,KRX:006390
코스피,CS홀딩스,000590,기타 금융업,"브랜드 수익, 자회사 배당",1975-12-22,12월,장원영,http://www.chosunwelding.com,경상북도,KRX:000590
코스피,신성통상,005390,기타 전문 도매업,"의류,악세사리(모자,벨트,가방) 도매/의류 제조",1975-12-22,06월,대표이사 염태순,http://www.ssts.co.kr,서울특별시,KRX:005390
코스피,동부하이텍,000990,반도체 제조업,반도체 제조,1975-12-12,12월,최창식,http://www.dongbuhitek.co.kr,서울특별시,KRX:000990
코스피,대림통상,006570,기타 금속 가공제품 제조업,"금속양식기,기물,건자재용 수전금구와 타일 제조,무역",1975-11-20,12월,"고은희, 이재만 (각자대표)",http://www.dlt.co.kr,서울특별시,KRX:006570
코스피,유유제약,000220,의약품 제조업,"의약품 제조,판매",1975-11-18,12월,"유승필, 최인석(각자대표이사)",http://www.yuyu.co.kr,충청북도,KRX:000220
코스피,강남제비스코,000860,기타 화학제품 제조업,"도료(페인트,락카,신나,에나멜,바니쉬),안료 제조,판매",1975-11-12,12월,황익준,http://www.jevisco.com,부산광역시,KRX:000860
코스피,대신증권,003540,금융 지원 서비스업,"유가증권 위탁매매,인수주선,자기매매 기타 금융서비스",1975-10-01,12월,나재철,http://www.daishin.com,서울특별시,KRX:003540
코스피,NH투자증권,005940,금융 지원 서비스업,"증권업,종합금융",1975-09-30,12월,김원규,http://www.nhqv.com,서울특별시,KRX:005940
코스피,미래에셋대우,006800,금융 지원 서비스업,"유가증권매매,유가증권위탁매매,유가증권인수",1975-09-30,12월,"최현만, 조웅기",http://www.miraeassetdaewoo.com,서울특별시,KRX:006800
코스피,신일산업,002700,기계장비 및 관련 물품 도매업,"가정용 전기기구(선풍기,난로,세탁기),전자기구,연구기구 제조,수출입",1975-09-30,12월,김권,http://www.shinil.co.kr,충청남도,KRX:002700
코스피,삼성제약,001360,의약품 제조업,"의약품(까스명수,쓸기담,에프킬라에어졸,액체우황청심원) 제조,도매",1975-07-04,12월,"김상재, 김기호 각자대표",http://www.sspharm.co.kr,경기도,KRX:001360
코스피,삼성화재해상보험,000810,보험업,"손해보험의 원수,재보험,운용자산의 투자활동",1975-06-30,12월,안민수,http://www.samsungfire.com,서울특별시,KRX:000810
코스피,삼양식품,003230,기타 식품 제조업,"라면,스낵,유제품,장유,식용유,사료,향신료,건강음료(루이보스 티) 제조,도매",1975-06-30,12월,전인장,http://www.samyangfood.co.kr,서울특별시,KRX:003230
코스피,한화손해보험,000370,보험업,손해보험,1975-06-30,12월,박윤식,http://www.hwgeneralins.com/,서울특별시,KRX:000370
코스피,NI스틸,008260,1차 철강 제조업,"스틸파이프,철강재임가공 제조,도매",1975-06-28,12월,배종민,http://www.hcr4u.com,서울특별시,KRX:008260
코스피,일동홀딩스,000230,기타 금융업,"의약품 제조,도매",1975-06-28,12월,이정치,http://www.ildong.com,서울특별시,KRX:000230
코스피,대동공업,000490,특수 목적용 기계 제조업,"경운기,트랙터,이앙기,바인더,수확기(콤바인),농업용엔진 및 부품 제조,판매",1975-06-27,12월,"김준식, 하창욱",http://www.daedong.co.kr,대구광역시,KRX:000490
코스피,오리온홀딩스,001800,기타 식품 제조업,자회사 관리 지주사업 등,1975-06-27,12월,허인철,http://www.oriongroup.co.kr,서울특별시,KRX:001800
코스피,깨끗한나라,004540,"펄프, 종이 및 판지 제조업","펄프,판지원지,화장지 제조,수출입",1975-06-25,12월,최병민,http://www.kleannara.com,서울특별시,KRX:004540
